year,session,month,level,scoring_section,max_score,mean_score,standard_deviation,population,source_url
2021,1,7,N1,Reading,60,27.7,14.7,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N2,Reading,60,27.7,12.7,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N3,Reading,60,29.1,9.8,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,57.5,21.6,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,63.7,27.6,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N1,Listening,60,35.4,11.6,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N2,Listening,60,35.1,11.6,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N3,Listening,60,36.0,10.9,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N4,Listening,60,34.5,9.6,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N5,Listening,60,34.7,10.2,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N1,Total Score,180,95.2,33.0,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N2,Total Score,180,91.6,30.1,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N3,Total Score,180,97.2,26.4,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N4,Total Score,180,92.0,28.7,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N5,Total Score,180,98.4,35.4,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,29.3,12.5,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,29.5,11.4,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,32.2,10.6,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N1,Reading,60,26.6,14.1,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N2,Reading,60,24.6,12.2,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N3,Reading,60,28.7,10.5,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,55.2,22.4,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,60.5,26.7,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N1,Listening,60,35.8,11.0,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N2,Listening,60,36.7,10.8,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N3,Listening,60,35.5,10.3,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N4,Listening,60,33.4,10.0,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N5,Listening,60,33.8,10.9,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N1,Total Score,180,91.6,32.4,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N2,Total Score,180,90.8,28.3,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N3,Total Score,180,96.4,26.3,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N4,Total Score,180,88.5,29.6,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2021,2,12,N5,Total Score,180,94.3,35.4,Total,https://www.jlpt.jp/statistics/pdf/2021_2_5.pdf
2022,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,28.2,11.3,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,26.2,11.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,31.6,9.6,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N1,Reading,60,27.4,14.6,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N2,Reading,60,25.5,12.4,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N3,Reading,60,30.3,11.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,58.7,22.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,56.6,23.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
